Date and Time,Date,Time,Activity,Duration
2017-09-18 12:30:00,2017-09-18,12:30:00,Sleep,245.0
2017-09-18 17:05:00,2017-09-18,17:05:00,Sleep,159.0
2017-09-18 21:02:00,2017-09-18,21:02:00,Sleep,54.0
2017-09-18 22:56:00,2017-09-18,22:56:00,Sleep,24.0
2017-09-18 23:59:00,2017-09-18,23:59:00,Sleep,158.0
2017-09-19 03:21:00,2017-09-19,03:21:00,Sleep,71.0
2017-09-19 04:47:00,2017-09-19,04:47:00,Sleep,31.0
2017-09-19 05:44:00,2017-09-19,05:44:00,Sleep,60.0
2017-09-19 07:40:00,2017-09-19,07:40:00,Sleep,100.0
2017-09-19 11:35:00,2017-09-19,11:35:00,Sleep,228.0
2017-09-19 16:40:00,2017-09-19,16:40:00,Sleep,70.0
2017-09-19 19:15:00,2017-09-19,19:15:00,Sleep,75.0
2017-09-19 21:20:00,2017-09-19,21:20:00,Sleep,96.0
2017-09-19 23:54:00,2017-09-19,23:54:00,Sleep,195.0
2017-09-20 03:48:00,2017-09-20,03:48:00,Sleep,100.0
2017-09-20 05:44:00,2017-09-20,05:44:00,Sleep,63.0
2017-09-20 08:21:00,2017-09-20,08:21:00,Sleep,111.0
2017-09-20 11:03:00,2017-09-20,11:03:00,Sleep,62.0
2017-09-20 13:46:00,2017-09-20,13:46:00,Sleep,52.0
2017-09-20 15:55:00,2017-09-20,15:55:00,Sleep,198.0
2017-09-20 19:45:00,2017-09-20,19:45:00,Sleep,75.0
2017-09-20 22:45:00,2017-09-20,22:45:00,Sleep,174.0
2017-09-21 02:49:00,2017-09-21,02:49:00,Sleep,156.0
2017-09-21 07:00:00,2017-09-21,07:00:00,Sleep,199.0
2017-09-21 11:35:00,2017-09-21,11:35:00,Sleep,135.0
2017-09-21 14:40:00,2017-09-21,14:40:00,Sleep,180.0
2017-09-21 19:40:00,2017-09-21,19:40:00,Sleep,141.0
2017-09-21 23:42:00,2017-09-21,23:42:00,Sleep,198.0
2017-09-22 04:03:00,2017-09-22,04:03:00,Sleep,185.0
2017-09-22 09:00:00,2017-09-22,09:00:00,Sleep,142.0
2017-09-22 13:10:00,2017-09-22,13:10:00,Sleep,169.0
2017-09-22 16:30:00,2017-09-22,16:30:00,Sleep,71.0
2017-09-22 18:28:00,2017-09-22,18:28:00,Sleep,29.0
2017-09-22 19:56:00,2017-09-22,19:56:00,Sleep,49.0
2017-09-22 22:54:00,2017-09-22,22:54:00,Sleep,207.0
2017-09-23 03:14:00,2017-09-23,03:14:00,Sleep,180.0
2017-09-23 07:20:00,2017-09-23,07:20:00,Sleep,157.0
2017-09-23 11:00:00,2017-09-23,11:00:00,Sleep,173.0
2017-09-23 15:25:00,2017-09-23,15:25:00,Sleep,149.0
2017-09-23 20:18:00,2017-09-23,20:18:00,Sleep,102.0
2017-09-23 22:50:00,2017-09-23,22:50:00,Sleep,217.0
2017-09-24 03:43:00,2017-09-24,03:43:00,Sleep,146.0
2017-09-24 10:37:00,2017-09-24,10:37:00,Sleep,135.0
2017-09-24 14:30:00,2017-09-24,14:30:00,Sleep,34.0
2017-09-24 15:42:00,2017-09-24,15:42:00,Sleep,140.0
2017-09-24 20:28:00,2017-09-24,20:28:00,Sleep,196.0
2017-09-25 00:56:00,2017-09-25,00:56:00,Sleep,160.0
2017-09-25 04:25:00,2017-09-25,04:25:00,Sleep,156.0
2017-09-25 08:20:00,2017-09-25,08:20:00,Sleep,145.0
2017-09-25 11:35:00,2017-09-25,11:35:00,Sleep,85.0
2017-09-25 13:46:00,2017-09-25,13:46:00,Sleep,128.0
2017-09-25 17:09:00,2017-09-25,17:09:00,Sleep,78.0
2017-09-25 19:32:00,2017-09-25,19:32:00,Sleep,60.0
2017-09-25 22:30:00,2017-09-25,22:30:00,Sleep,220.0
2017-09-26 03:17:00,2017-09-26,03:17:00,Sleep,197.0
2017-09-26 08:00:00,2017-09-26,08:00:00,Sleep,86.0
2017-09-26 10:20:00,2017-09-26,10:20:00,Sleep,206.0
2017-09-26 15:15:00,2017-09-26,15:15:00,Sleep,60.0
2017-09-26 17:30:00,2017-09-26,17:30:00,Sleep,219.0
2017-09-26 22:30:00,2017-09-26,22:30:00,Sleep,174.0
2017-09-27 02:20:00,2017-09-27,02:20:00,Sleep,98.0
2017-09-27 07:15:00,2017-09-27,07:15:00,Sleep,61.0
2017-09-27 09:40:00,2017-09-27,09:40:00,Sleep,71.0
2017-09-27 11:40:00,2017-09-27,11:40:00,Sleep,114.0
2017-09-27 14:15:00,2017-09-27,14:15:00,Sleep,98.0
2017-09-27 16:45:00,2017-09-27,16:45:00,Sleep,253.0
2017-09-27 22:35:00,2017-09-27,22:35:00,Sleep,120.0
2017-09-28 01:52:00,2017-09-28,01:52:00,Sleep,82.0
2017-09-28 04:45:00,2017-09-28,04:45:00,Sleep,150.0
2017-09-28 08:15:00,2017-09-28,08:15:00,Sleep,161.0
2017-09-28 13:25:00,2017-09-28,13:25:00,Sleep,224.0
2017-09-28 19:05:00,2017-09-28,19:05:00,Sleep,253.0
2017-09-29 00:15:00,2017-09-29,00:15:00,Sleep,236.0
2017-09-29 05:11:00,2017-09-29,05:11:00,Sleep,154.0
2017-09-29 08:55:00,2017-09-29,08:55:00,Sleep,185.0
2017-09-29 14:34:00,2017-09-29,14:34:00,Sleep,250.0
2017-09-29 21:55:00,2017-09-29,21:55:00,Sleep,227.0
2017-09-30 03:30:00,2017-09-30,03:30:00,Sleep,142.0
2017-09-30 08:55:00,2017-09-30,08:55:00,Sleep,133.0
2017-09-30 12:00:00,2017-09-30,12:00:00,Sleep,240.0
2017-09-30 17:01:00,2017-09-30,17:01:00,Sleep,153.0
2017-09-30 23:10:00,2017-09-30,23:10:00,Sleep,144.0
2017-10-01 02:51:00,2017-10-01,02:51:00,Sleep,209.0
2017-10-01 07:20:00,2017-10-01,07:20:00,Sleep,135.0
2017-10-01 10:30:00,2017-10-01,10:30:00,Sleep,215.0
2017-10-01 14:45:00,2017-10-01,14:45:00,Sleep,145.0
2017-10-01 19:40:00,2017-10-01,19:40:00,Sleep,334.0
2017-10-02 02:30:00,2017-10-02,02:30:00,Sleep,132.0
2017-10-02 06:00:00,2017-10-02,06:00:00,Sleep,99.0
2017-10-02 09:00:00,2017-10-02,09:00:00,Sleep,255.0
2017-10-02 14:50:00,2017-10-02,14:50:00,Sleep,148.0
2017-10-02 18:28:00,2017-10-02,18:28:00,Sleep,151.0
2017-10-02 22:35:00,2017-10-02,22:35:00,Sleep,141.0
2017-10-03 02:20:00,2017-10-03,02:20:00,Sleep,205.0
2017-10-03 07:09:00,2017-10-03,07:09:00,Sleep,185.0
2017-10-03 13:57:00,2017-10-03,13:57:00,Sleep,68.0
2017-10-03 15:55:00,2017-10-03,15:55:00,Sleep,231.0
2017-10-03 20:15:00,2017-10-03,20:15:00,Sleep,195.0
2017-10-04 00:38:00,2017-10-04,00:38:00,Sleep,205.0
2017-10-04 05:21:00,2017-10-04,05:21:00,Sleep,163.0
2017-10-04 10:45:00,2017-10-04,10:45:00,Sleep,224.0
2017-10-04 15:17:00,2017-10-04,15:17:00,Sleep,204.0
2017-10-04 21:05:00,2017-10-04,21:05:00,Sleep,261.0
