,Date,Time,Finish,Duration
2017-09-18 12:30:00,2017-09-18,12:30:00,2017-09-18 16:35:00,245.0
2017-09-18 17:05:00,2017-09-18,17:05:00,2017-09-18 19:44:00,159.0
2017-09-18 21:02:00,2017-09-18,21:02:00,2017-09-18 21:56:00,54.0
2017-09-18 22:56:00,2017-09-18,22:56:00,2017-09-18 23:20:00,24.0
2017-09-18 23:59:00,2017-09-18,23:59:00,2017-09-19 02:37:00,158.0
2017-09-19 03:21:00,2017-09-19,03:21:00,2017-09-19 04:32:00,71.0
2017-09-19 04:47:00,2017-09-19,04:47:00,2017-09-19 05:18:00,31.0
2017-09-19 05:44:00,2017-09-19,05:44:00,2017-09-19 06:44:00,60.0
2017-09-19 07:40:00,2017-09-19,07:40:00,2017-09-19 09:20:00,100.0
2017-09-19 11:35:00,2017-09-19,11:35:00,2017-09-19 15:23:00,228.0
2017-09-19 16:40:00,2017-09-19,16:40:00,2017-09-19 17:50:00,70.0
2017-09-19 19:15:00,2017-09-19,19:15:00,2017-09-19 20:30:00,75.0
2017-09-19 21:20:00,2017-09-19,21:20:00,2017-09-19 22:56:00,96.0
2017-09-19 23:54:00,2017-09-19,23:54:00,2017-09-20 03:09:00,195.0
2017-09-20 03:48:00,2017-09-20,03:48:00,2017-09-20 05:28:00,100.0
2017-09-20 05:44:00,2017-09-20,05:44:00,2017-09-20 06:47:00,63.0
2017-09-20 08:21:00,2017-09-20,08:21:00,2017-09-20 10:12:00,111.0
2017-09-20 11:03:00,2017-09-20,11:03:00,2017-09-20 12:05:00,62.0
2017-09-20 13:46:00,2017-09-20,13:46:00,2017-09-20 14:38:00,52.0
2017-09-20 15:55:00,2017-09-20,15:55:00,2017-09-20 19:13:00,198.0
2017-09-20 19:45:00,2017-09-20,19:45:00,2017-09-20 21:00:00,75.0
2017-09-20 22:45:00,2017-09-20,22:45:00,2017-09-21 01:39:00,174.0
2017-09-21 02:49:00,2017-09-21,02:49:00,2017-09-21 05:25:00,156.0
2017-09-21 07:00:00,2017-09-21,07:00:00,2017-09-21 10:19:00,199.0
2017-09-21 11:35:00,2017-09-21,11:35:00,2017-09-21 13:50:00,135.0
2017-09-21 14:40:00,2017-09-21,14:40:00,2017-09-21 17:40:00,180.0
2017-09-21 19:40:00,2017-09-21,19:40:00,2017-09-21 22:01:00,141.0
2017-09-21 23:42:00,2017-09-21,23:42:00,2017-09-22 03:00:00,198.0
2017-09-22 04:03:00,2017-09-22,04:03:00,2017-09-22 07:08:00,185.0
2017-09-22 09:00:00,2017-09-22,09:00:00,2017-09-22 11:22:00,142.0
2017-09-22 13:10:00,2017-09-22,13:10:00,2017-09-22 15:59:00,169.0
2017-09-22 16:30:00,2017-09-22,16:30:00,2017-09-22 17:41:00,71.0
2017-09-22 18:28:00,2017-09-22,18:28:00,2017-09-22 18:57:00,29.0
2017-09-22 19:56:00,2017-09-22,19:56:00,2017-09-22 20:45:00,49.0
2017-09-22 22:54:00,2017-09-22,22:54:00,2017-09-23 02:21:00,207.0
2017-09-23 03:14:00,2017-09-23,03:14:00,2017-09-23 06:14:00,180.0
2017-09-23 07:20:00,2017-09-23,07:20:00,2017-09-23 09:57:00,157.0
