Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2017-09-18 12:30:00,2017-09-18,12:30:00,Sleep,245.0,0,750
2017-09-18 17:05:00,2017-09-18,17:05:00,Sleep,159.0,0,1025
2017-09-18 21:02:00,2017-09-18,21:02:00,Sleep,54.0,0,1262
2017-09-18 22:56:00,2017-09-18,22:56:00,Sleep,24.0,0,1376
2017-09-18 23:59:00,2017-09-18,23:59:00,Sleep,158.0,0,1439
2017-09-19 03:21:00,2017-09-19,03:21:00,Sleep,71.0,1,201
2017-09-19 04:47:00,2017-09-19,04:47:00,Sleep,31.0,1,287
2017-09-19 05:44:00,2017-09-19,05:44:00,Sleep,60.0,1,344
2017-09-19 07:40:00,2017-09-19,07:40:00,Sleep,100.0,1,460
2017-09-19 11:35:00,2017-09-19,11:35:00,Sleep,228.0,1,695
2017-09-19 16:40:00,2017-09-19,16:40:00,Sleep,70.0,1,1000
2017-09-19 19:15:00,2017-09-19,19:15:00,Sleep,75.0,1,1155
2017-09-19 21:20:00,2017-09-19,21:20:00,Sleep,96.0,1,1280
2017-09-19 23:54:00,2017-09-19,23:54:00,Sleep,195.0,1,1434
2017-09-20 03:48:00,2017-09-20,03:48:00,Sleep,100.0,2,228
2017-09-20 05:44:00,2017-09-20,05:44:00,Sleep,63.0,2,344
2017-09-20 08:21:00,2017-09-20,08:21:00,Sleep,111.0,2,501
2017-09-20 11:03:00,2017-09-20,11:03:00,Sleep,62.0,2,663
2017-09-20 13:46:00,2017-09-20,13:46:00,Sleep,52.0,2,826
2017-09-20 15:55:00,2017-09-20,15:55:00,Sleep,198.0,2,955
2017-09-20 19:45:00,2017-09-20,19:45:00,Sleep,75.0,2,1185
2017-09-20 22:45:00,2017-09-20,22:45:00,Sleep,174.0,2,1365
2017-09-21 02:49:00,2017-09-21,02:49:00,Sleep,156.0,3,169
2017-09-21 07:00:00,2017-09-21,07:00:00,Sleep,199.0,3,420
2017-09-21 11:35:00,2017-09-21,11:35:00,Sleep,135.0,3,695
2017-09-21 14:40:00,2017-09-21,14:40:00,Sleep,180.0,3,880
2017-09-21 19:40:00,2017-09-21,19:40:00,Sleep,141.0,3,1180
2017-09-21 23:42:00,2017-09-21,23:42:00,Sleep,198.0,3,1422
2017-09-22 04:03:00,2017-09-22,04:03:00,Sleep,185.0,4,243
2017-09-22 09:00:00,2017-09-22,09:00:00,Sleep,142.0,4,540
2017-09-22 13:10:00,2017-09-22,13:10:00,Sleep,169.0,4,790
2017-09-22 16:30:00,2017-09-22,16:30:00,Sleep,71.0,4,990
2017-09-22 18:28:00,2017-09-22,18:28:00,Sleep,29.0,4,1108
2017-09-22 19:56:00,2017-09-22,19:56:00,Sleep,49.0,4,1196
2017-09-22 22:54:00,2017-09-22,22:54:00,Sleep,207.0,4,1374
2017-09-23 03:14:00,2017-09-23,03:14:00,Sleep,180.0,5,194
2017-09-23 07:20:00,2017-09-23,07:20:00,Sleep,157.0,5,440
2017-09-23 11:00:00,2017-09-23,11:00:00,Sleep,173.0,5,660
2017-09-23 15:25:00,2017-09-23,15:25:00,Sleep,149.0,5,925
2017-09-23 20:18:00,2017-09-23,20:18:00,Sleep,102.0,5,1218
2017-09-23 22:50:00,2017-09-23,22:50:00,Sleep,217.0,5,1370
2017-09-24 03:43:00,2017-09-24,03:43:00,Sleep,146.0,6,223
2017-09-24 10:37:00,2017-09-24,10:37:00,Sleep,135.0,6,637
2017-09-24 14:30:00,2017-09-24,14:30:00,Sleep,34.0,6,870
2017-09-24 15:42:00,2017-09-24,15:42:00,Sleep,140.0,6,942
2017-09-24 20:28:00,2017-09-24,20:28:00,Sleep,196.0,6,1228
2017-09-25 00:56:00,2017-09-25,00:56:00,Sleep,160.0,7,56
2017-09-25 04:25:00,2017-09-25,04:25:00,Sleep,156.0,7,265
2017-09-25 08:20:00,2017-09-25,08:20:00,Sleep,145.0,7,500
2017-09-25 11:35:00,2017-09-25,11:35:00,Sleep,85.0,7,695
2017-09-25 13:46:00,2017-09-25,13:46:00,Sleep,128.0,7,826
2017-09-25 17:09:00,2017-09-25,17:09:00,Sleep,78.0,7,1029
2017-09-25 19:32:00,2017-09-25,19:32:00,Sleep,60.0,7,1172
