,Date,Time,Finish,Duration
2015-01-15 13:10:00,2015-01-15,13:10:00,2015-01-15 13:13:00,3.0
2015-01-15 13:14:00,2015-01-15,13:14:00,2015-01-15 15:20:00,126.0
2015-01-15 15:54:00,2015-01-15,15:54:00,2015-01-15 18:14:00,140.0
2015-01-15 19:05:00,2015-01-15,19:05:00,2015-01-15 21:01:00,116.0
2015-01-15 22:36:00,2015-01-15,22:36:00,2015-01-16 01:35:00,179.0
2015-01-16 02:11:00,2015-01-16,02:11:00,2015-01-16 05:11:00,180.0
2015-01-16 08:00:00,2015-01-16,08:00:00,2015-01-16 10:20:00,140.0
2015-01-16 11:06:00,2015-01-16,11:06:00,2015-01-16 13:06:00,120.0
2015-01-16 16:18:00,2015-01-16,16:18:00,2015-01-16 18:23:00,125.0
2015-01-16 20:30:00,2015-01-16,20:30:00,2015-01-16 23:22:00,172.0
2015-01-17 00:51:00,2015-01-17,00:51:00,2015-01-17 03:21:00,150.0
2015-01-17 04:20:00,2015-01-17,04:20:00,2015-01-17 06:29:00,129.0
2015-01-17 07:38:00,2015-01-17,07:38:00,2015-01-17 09:39:00,121.0
2015-01-17 10:45:00,2015-01-17,10:45:00,2015-01-17 12:09:00,84.0
2015-01-17 12:40:00,2015-01-17,12:40:00,2015-01-17 14:59:00,139.0
2015-01-17 19:34:00,2015-01-17,19:34:00,2015-01-17 21:35:00,121.0
2015-01-17 23:09:00,2015-01-17,23:09:00,2015-01-18 03:15:00,246.0
2015-01-18 04:15:00,2015-01-18,04:15:00,2015-01-18 06:47:00,152.0
2015-01-18 07:40:00,2015-01-18,07:40:00,2015-01-18 10:30:00,170.0
2015-01-18 13:20:00,2015-01-18,13:20:00,2015-01-18 16:50:00,210.0
2015-01-18 17:59:00,2015-01-18,17:59:00,2015-01-18 18:47:00,48.0
2015-01-18 23:07:00,2015-01-18,23:07:00,2015-01-19 02:59:00,232.0
2015-01-19 03:52:00,2015-01-19,03:52:00,2015-01-19 06:40:00,168.0
2015-01-19 07:17:00,2015-01-19,07:17:00,2015-01-19 09:27:00,130.0
2015-01-19 14:47:00,2015-01-19,14:47:00,2015-01-19 16:44:00,117.0
2015-01-19 17:50:00,2015-01-19,17:50:00,2015-01-19 19:05:00,75.0
2015-01-19 22:45:00,2015-01-19,22:45:00,2015-01-20 03:00:00,255.0
2015-01-20 03:35:00,2015-01-20,03:35:00,2015-01-20 06:14:00,159.0
2015-01-20 07:00:00,2015-01-20,07:00:00,2015-01-20 09:30:00,150.0
2015-01-20 14:49:00,2015-01-20,14:49:00,2015-01-20 17:29:00,160.0
2015-01-20 21:00:00,2015-01-20,21:00:00,2015-01-21 01:50:00,290.0
2015-01-21 02:44:00,2015-01-21,02:44:00,2015-01-21 06:06:00,202.0
2015-01-21 07:26:00,2015-01-21,07:26:00,2015-01-21 08:59:00,93.0
2015-01-21 10:46:00,2015-01-21,10:46:00,2015-01-21 12:34:00,108.0
2015-01-21 13:28:00,2015-01-21,13:28:00,2015-01-21 14:28:00,60.0
2015-01-21 14:58:00,2015-01-21,14:58:00,2015-01-21 16:29:00,91.0
2015-01-21 17:44:00,2015-01-21,17:44:00,2015-01-21 19:38:00,114.0
2015-01-21 20:26:00,2015-01-21,20:26:00,2015-01-21 22:26:00,120.0
2015-01-21 23:10:00,2015-01-21,23:10:00,2015-01-22 02:09:00,179.0
2015-01-22 02:57:00,2015-01-22,02:57:00,2015-01-22 05:41:00,164.0
2015-01-22 10:15:00,2015-01-22,10:15:00,2015-01-22 12:15:00,120.0
2015-01-22 12:53:00,2015-01-22,12:53:00,2015-01-22 15:23:00,150.0
2015-01-22 16:10:00,2015-01-22,16:10:00,2015-01-22 17:16:00,66.0
2015-01-22 18:07:00,2015-01-22,18:07:00,2015-01-22 19:05:00,58.0
2015-01-22 20:47:00,2015-01-22,20:47:00,2015-01-23 00:58:00,251.0
2015-01-23 01:42:00,2015-01-23,01:42:00,2015-01-23 04:37:00,175.0
2015-01-23 09:20:00,2015-01-23,09:20:00,2015-01-23 10:04:00,44.0
2015-01-23 12:30:00,2015-01-23,12:30:00,2015-01-23 13:26:00,56.0
2015-01-23 15:35:00,2015-01-23,15:35:00,2015-01-23 16:35:00,60.0
2015-01-23 17:22:00,2015-01-23,17:22:00,2015-01-23 18:37:00,75.0
2015-01-23 19:50:00,2015-01-23,19:50:00,2015-01-23 22:05:00,135.0
2015-01-24 03:14:00,2015-01-24,03:14:00,2015-01-24 05:53:00,159.0
2015-01-24 06:51:00,2015-01-24,06:51:00,2015-01-24 07:55:00,64.0
2015-01-24 12:00:00,2015-01-24,12:00:00,2015-01-24 16:00:00,240.0
2015-01-24 19:20:00,2015-01-24,19:20:00,2015-01-24 21:00:00,100.0
2015-01-24 21:15:00,2015-01-24,21:15:00,2015-01-25 00:44:00,209.0
2015-01-25 01:11:00,2015-01-25,01:11:00,2015-01-25 03:39:00,148.0
2015-01-25 04:12:00,2015-01-25,04:12:00,2015-01-25 05:46:00,94.0
2015-01-25 05:55:00,2015-01-25,05:55:00,2015-01-25 08:15:00,140.0
2015-01-25 10:58:00,2015-01-25,10:58:00,2015-01-25 11:59:00,61.0
2015-01-25 12:30:00,2015-01-25,12:30:00,2015-01-25 14:39:00,129.0
2015-01-25 15:10:00,2015-01-25,15:10:00,2015-01-25 17:00:00,110.0
2015-01-25 17:52:00,2015-01-25,17:52:00,2015-01-25 22:00:00,248.0
2015-01-25 23:10:00,2015-01-25,23:10:00,2015-01-26 01:42:00,152.0
2015-01-26 02:15:00,2015-01-26,02:15:00,2015-01-26 05:09:00,174.0
2015-01-26 05:52:00,2015-01-26,05:52:00,2015-01-26 08:19:00,147.0
2015-01-26 09:30:00,2015-01-26,09:30:00,2015-01-26 10:39:00,69.0
2015-01-26 11:40:00,2015-01-26,11:40:00,2015-01-26 13:10:00,90.0
2015-01-26 15:15:00,2015-01-26,15:15:00,2015-01-26 15:59:00,44.0
2015-01-26 19:50:00,2015-01-26,19:50:00,2015-01-26 21:29:00,99.0
2015-01-26 22:47:00,2015-01-26,22:47:00,2015-01-27 04:24:00,337.0
2015-01-27 05:03:00,2015-01-27,05:03:00,2015-01-27 07:17:00,134.0
2015-01-27 10:40:00,2015-01-27,10:40:00,2015-01-27 11:39:00,59.0
2015-01-27 11:54:00,2015-01-27,11:54:00,2015-01-27 13:00:00,66.0
2015-01-27 13:45:00,2015-01-27,13:45:00,2015-01-27 15:10:00,85.0
2015-01-27 16:00:00,2015-01-27,16:00:00,2015-01-27 17:45:00,105.0
2015-01-27 21:25:00,2015-01-27,21:25:00,2015-01-28 03:10:00,345.0
2015-01-28 03:45:00,2015-01-28,03:45:00,2015-01-28 06:19:00,154.0
2015-01-28 06:57:00,2015-01-28,06:57:00,2015-01-28 09:23:00,146.0
2015-01-28 11:00:00,2015-01-28,11:00:00,2015-01-28 11:55:00,55.0
2015-01-28 17:15:00,2015-01-28,17:15:00,2015-01-28 18:15:00,60.0
2015-01-28 21:49:00,2015-01-28,21:49:00,2015-01-29 03:41:00,352.0
2015-01-29 04:26:00,2015-01-29,04:26:00,2015-01-29 07:23:00,177.0
