Date and Time,Date,Time,Activity,Duration
2015-01-15 13:10:00,2015-01-15,13:10:00,Sleep,3.0
2015-01-15 13:14:00,2015-01-15,13:14:00,Sleep,126.0
2015-01-15 15:54:00,2015-01-15,15:54:00,Sleep,140.0
2015-01-15 19:05:00,2015-01-15,19:05:00,Sleep,116.0
2015-01-15 22:36:00,2015-01-15,22:36:00,Sleep,179.0
2015-01-16 02:11:00,2015-01-16,02:11:00,Sleep,180.0
2015-01-16 08:00:00,2015-01-16,08:00:00,Sleep,140.0
2015-01-16 11:06:00,2015-01-16,11:06:00,Sleep,120.0
2015-01-16 16:18:00,2015-01-16,16:18:00,Sleep,125.0
2015-01-16 20:30:00,2015-01-16,20:30:00,Sleep,172.0
2015-01-17 00:51:00,2015-01-17,00:51:00,Sleep,150.0
2015-01-17 04:20:00,2015-01-17,04:20:00,Sleep,129.0
2015-01-17 07:38:00,2015-01-17,07:38:00,Sleep,121.0
2015-01-17 10:45:00,2015-01-17,10:45:00,Sleep,84.0
2015-01-17 12:40:00,2015-01-17,12:40:00,Sleep,139.0
2015-01-17 19:34:00,2015-01-17,19:34:00,Sleep,121.0
2015-01-17 23:09:00,2015-01-17,23:09:00,Sleep,246.0
2015-01-18 04:15:00,2015-01-18,04:15:00,Sleep,152.0
2015-01-18 07:40:00,2015-01-18,07:40:00,Sleep,170.0
2015-01-18 13:20:00,2015-01-18,13:20:00,Sleep,210.0
2015-01-18 17:59:00,2015-01-18,17:59:00,Sleep,48.0
2015-01-18 23:07:00,2015-01-18,23:07:00,Sleep,232.0
2015-01-19 03:52:00,2015-01-19,03:52:00,Sleep,168.0
2015-01-19 07:17:00,2015-01-19,07:17:00,Sleep,130.0
2015-01-19 14:47:00,2015-01-19,14:47:00,Sleep,117.0
2015-01-19 17:50:00,2015-01-19,17:50:00,Sleep,75.0
2015-01-19 22:45:00,2015-01-19,22:45:00,Sleep,255.0
2015-01-20 03:35:00,2015-01-20,03:35:00,Sleep,159.0
2015-01-20 07:00:00,2015-01-20,07:00:00,Sleep,150.0
2015-01-20 14:49:00,2015-01-20,14:49:00,Sleep,160.0
2015-01-20 21:00:00,2015-01-20,21:00:00,Sleep,290.0
2015-01-21 02:44:00,2015-01-21,02:44:00,Sleep,202.0
2015-01-21 07:26:00,2015-01-21,07:26:00,Sleep,93.0
2015-01-21 10:46:00,2015-01-21,10:46:00,Sleep,108.0
2015-01-21 13:28:00,2015-01-21,13:28:00,Sleep,60.0
2015-01-21 14:58:00,2015-01-21,14:58:00,Sleep,91.0
2015-01-21 17:44:00,2015-01-21,17:44:00,Sleep,114.0
2015-01-21 20:26:00,2015-01-21,20:26:00,Sleep,120.0
2015-01-21 23:10:00,2015-01-21,23:10:00,Sleep,179.0
2015-01-22 02:57:00,2015-01-22,02:57:00,Sleep,164.0
2015-01-22 10:15:00,2015-01-22,10:15:00,Sleep,120.0
2015-01-22 12:53:00,2015-01-22,12:53:00,Sleep,150.0
2015-01-22 16:10:00,2015-01-22,16:10:00,Sleep,66.0
2015-01-22 18:07:00,2015-01-22,18:07:00,Sleep,58.0
2015-01-22 20:47:00,2015-01-22,20:47:00,Sleep,251.0
2015-01-23 01:42:00,2015-01-23,01:42:00,Sleep,175.0
2015-01-23 09:20:00,2015-01-23,09:20:00,Sleep,44.0
2015-01-23 12:30:00,2015-01-23,12:30:00,Sleep,56.0
2015-01-23 15:35:00,2015-01-23,15:35:00,Sleep,60.0
2015-01-23 17:22:00,2015-01-23,17:22:00,Sleep,75.0
2015-01-23 19:50:00,2015-01-23,19:50:00,Sleep,135.0
2015-01-24 03:14:00,2015-01-24,03:14:00,Sleep,159.0
2015-01-24 06:51:00,2015-01-24,06:51:00,Sleep,64.0
2015-01-24 12:00:00,2015-01-24,12:00:00,Sleep,240.0
2015-01-24 19:20:00,2015-01-24,19:20:00,Sleep,100.0
2015-01-24 21:15:00,2015-01-24,21:15:00,Sleep,209.0
2015-01-25 01:11:00,2015-01-25,01:11:00,Sleep,148.0
2015-01-25 04:12:00,2015-01-25,04:12:00,Sleep,94.0
2015-01-25 05:55:00,2015-01-25,05:55:00,Sleep,140.0
