Date and Time,Date,Time,Activity,Duration,Radial,Minutes
2015-01-15 13:10:00,2015-01-15,13:10:00,Sleep,3.0,0,790
2015-01-15 13:14:00,2015-01-15,13:14:00,Sleep,126.0,0,794
2015-01-15 15:54:00,2015-01-15,15:54:00,Sleep,140.0,0,954
2015-01-15 19:05:00,2015-01-15,19:05:00,Sleep,116.0,0,1145
2015-01-15 22:36:00,2015-01-15,22:36:00,Sleep,179.0,0,1356
2015-01-16 02:11:00,2015-01-16,02:11:00,Sleep,180.0,1,131
2015-01-16 08:00:00,2015-01-16,08:00:00,Sleep,140.0,1,480
2015-01-16 11:06:00,2015-01-16,11:06:00,Sleep,120.0,1,666
2015-01-16 16:18:00,2015-01-16,16:18:00,Sleep,125.0,1,978
2015-01-16 20:30:00,2015-01-16,20:30:00,Sleep,172.0,1,1230
2015-01-17 00:51:00,2015-01-17,00:51:00,Sleep,150.0,2,51
2015-01-17 04:20:00,2015-01-17,04:20:00,Sleep,129.0,2,260
2015-01-17 07:38:00,2015-01-17,07:38:00,Sleep,121.0,2,458
2015-01-17 10:45:00,2015-01-17,10:45:00,Sleep,84.0,2,645
2015-01-17 12:40:00,2015-01-17,12:40:00,Sleep,139.0,2,760
2015-01-17 19:34:00,2015-01-17,19:34:00,Sleep,121.0,2,1174
2015-01-17 23:09:00,2015-01-17,23:09:00,Sleep,246.0,2,1389
2015-01-18 04:15:00,2015-01-18,04:15:00,Sleep,152.0,3,255
2015-01-18 07:40:00,2015-01-18,07:40:00,Sleep,170.0,3,460
2015-01-18 13:20:00,2015-01-18,13:20:00,Sleep,210.0,3,800
2015-01-18 17:59:00,2015-01-18,17:59:00,Sleep,48.0,3,1079
2015-01-18 23:07:00,2015-01-18,23:07:00,Sleep,232.0,3,1387
2015-01-19 03:52:00,2015-01-19,03:52:00,Sleep,168.0,4,232
2015-01-19 07:17:00,2015-01-19,07:17:00,Sleep,130.0,4,437
2015-01-19 14:47:00,2015-01-19,14:47:00,Sleep,117.0,4,887
2015-01-19 17:50:00,2015-01-19,17:50:00,Sleep,75.0,4,1070
2015-01-19 22:45:00,2015-01-19,22:45:00,Sleep,255.0,4,1365
2015-01-20 03:35:00,2015-01-20,03:35:00,Sleep,159.0,5,215
2015-01-20 07:00:00,2015-01-20,07:00:00,Sleep,150.0,5,420
2015-01-20 14:49:00,2015-01-20,14:49:00,Sleep,160.0,5,889
2015-01-20 21:00:00,2015-01-20,21:00:00,Sleep,290.0,5,1260
2015-01-21 02:44:00,2015-01-21,02:44:00,Sleep,202.0,6,164
2015-01-21 07:26:00,2015-01-21,07:26:00,Sleep,93.0,6,446
2015-01-21 10:46:00,2015-01-21,10:46:00,Sleep,108.0,6,646
2015-01-21 13:28:00,2015-01-21,13:28:00,Sleep,60.0,6,808
2015-01-21 14:58:00,2015-01-21,14:58:00,Sleep,91.0,6,898
2015-01-21 17:44:00,2015-01-21,17:44:00,Sleep,114.0,6,1064
2015-01-21 20:26:00,2015-01-21,20:26:00,Sleep,120.0,6,1226
2015-01-21 23:10:00,2015-01-21,23:10:00,Sleep,179.0,6,1390
2015-01-22 02:57:00,2015-01-22,02:57:00,Sleep,164.0,7,177
2015-01-22 10:15:00,2015-01-22,10:15:00,Sleep,120.0,7,615
2015-01-22 12:53:00,2015-01-22,12:53:00,Sleep,150.0,7,773
2015-01-22 16:10:00,2015-01-22,16:10:00,Sleep,66.0,7,970
2015-01-22 18:07:00,2015-01-22,18:07:00,Sleep,58.0,7,1087
2015-01-22 20:47:00,2015-01-22,20:47:00,Sleep,251.0,7,1247
2015-01-23 01:42:00,2015-01-23,01:42:00,Sleep,175.0,8,102
2015-01-23 09:20:00,2015-01-23,09:20:00,Sleep,44.0,8,560
2015-01-23 12:30:00,2015-01-23,12:30:00,Sleep,56.0,8,750
2015-01-23 15:35:00,2015-01-23,15:35:00,Sleep,60.0,8,935
2015-01-23 17:22:00,2015-01-23,17:22:00,Sleep,75.0,8,1042
2015-01-23 19:50:00,2015-01-23,19:50:00,Sleep,135.0,8,1190
2015-01-24 03:14:00,2015-01-24,03:14:00,Sleep,159.0,9,194
2015-01-24 06:51:00,2015-01-24,06:51:00,Sleep,64.0,9,411
2015-01-24 12:00:00,2015-01-24,12:00:00,Sleep,240.0,9,720
2015-01-24 19:20:00,2015-01-24,19:20:00,Sleep,100.0,9,1160
2015-01-24 21:15:00,2015-01-24,21:15:00,Sleep,209.0,9,1275
2015-01-25 01:11:00,2015-01-25,01:11:00,Sleep,148.0,10,71
2015-01-25 04:12:00,2015-01-25,04:12:00,Sleep,94.0,10,252
2015-01-25 05:55:00,2015-01-25,05:55:00,Sleep,140.0,10,355
2015-01-25 10:58:00,2015-01-25,10:58:00,Sleep,61.0,10,658
2015-01-25 12:30:00,2015-01-25,12:30:00,Sleep,129.0,10,750
2015-01-25 15:10:00,2015-01-25,15:10:00,Sleep,110.0,10,910
2015-01-25 17:52:00,2015-01-25,17:52:00,Sleep,248.0,10,1072
2015-01-25 23:10:00,2015-01-25,23:10:00,Sleep,152.0,10,1390
2015-01-26 02:15:00,2015-01-26,02:15:00,Sleep,174.0,11,135
2015-01-26 05:52:00,2015-01-26,05:52:00,Sleep,147.0,11,352
2015-01-26 09:30:00,2015-01-26,09:30:00,Sleep,69.0,11,570
2015-01-26 11:40:00,2015-01-26,11:40:00,Sleep,90.0,11,700
2015-01-26 15:15:00,2015-01-26,15:15:00,Sleep,44.0,11,915
2015-01-26 19:50:00,2015-01-26,19:50:00,Sleep,99.0,11,1190
2015-01-26 22:47:00,2015-01-26,22:47:00,Sleep,337.0,11,1367
2015-01-27 05:03:00,2015-01-27,05:03:00,Sleep,134.0,12,303
2015-01-27 10:40:00,2015-01-27,10:40:00,Sleep,59.0,12,640
2015-01-27 11:54:00,2015-01-27,11:54:00,Sleep,66.0,12,714
2015-01-27 13:45:00,2015-01-27,13:45:00,Sleep,85.0,12,825
2015-01-27 16:00:00,2015-01-27,16:00:00,Sleep,105.0,12,960
2015-01-27 21:25:00,2015-01-27,21:25:00,Sleep,345.0,12,1285
2015-01-28 03:45:00,2015-01-28,03:45:00,Sleep,154.0,13,225
2015-01-28 06:57:00,2015-01-28,06:57:00,Sleep,146.0,13,417
2015-01-28 11:00:00,2015-01-28,11:00:00,Sleep,55.0,13,660
2015-01-28 17:15:00,2015-01-28,17:15:00,Sleep,60.0,13,1035
2015-01-28 21:49:00,2015-01-28,21:49:00,Sleep,352.0,13,1309
2015-01-29 04:26:00,2015-01-29,04:26:00,Sleep,177.0,14,266
2015-01-29 07:56:00,2015-01-29,07:56:00,Sleep,84.0,14,476
2015-01-29 11:40:00,2015-01-29,11:40:00,Sleep,110.0,14,700
2015-01-29 14:10:00,2015-01-29,14:10:00,Sleep,144.0,14,850
2015-01-29 20:38:00,2015-01-29,20:38:00,Sleep,331.0,14,1238
2015-01-30 02:39:00,2015-01-30,02:39:00,Sleep,201.0,15,159
2015-01-30 07:10:00,2015-01-30,07:10:00,Sleep,117.0,15,430
2015-01-30 11:13:00,2015-01-30,11:13:00,Sleep,66.0,15,673
2015-01-30 12:45:00,2015-01-30,12:45:00,Sleep,31.0,15,765
2015-01-30 13:50:00,2015-01-30,13:50:00,Sleep,146.0,15,830
2015-01-30 17:00:00,2015-01-30,17:00:00,Sleep,59.0,15,1020
2015-01-30 21:06:00,2015-01-30,21:06:00,Sleep,286.0,15,1266
2015-01-31 02:27:00,2015-01-31,02:27:00,Sleep,159.0,16,147
2015-01-31 05:46:00,2015-01-31,05:46:00,Sleep,66.0,16,346
2015-01-31 07:03:00,2015-01-31,07:03:00,Sleep,56.0,16,423
2015-01-31 13:10:00,2015-01-31,13:10:00,Sleep,80.0,16,790
2015-01-31 15:15:00,2015-01-31,15:15:00,Sleep,132.0,16,915
2015-01-31 20:50:00,2015-01-31,20:50:00,Sleep,357.0,16,1250
2015-02-01 03:18:00,2015-02-01,03:18:00,Sleep,164.0,17,198
2015-02-01 09:14:00,2015-02-01,09:14:00,Sleep,91.0,17,554
2015-02-01 14:30:00,2015-02-01,14:30:00,Sleep,38.0,17,870
2015-02-01 16:01:00,2015-02-01,16:01:00,Sleep,185.0,17,961
2015-02-01 20:00:00,2015-02-01,20:00:00,Sleep,205.0,17,1200
2015-02-01 23:51:00,2015-02-01,23:51:00,Sleep,183.0,17,1431
2015-02-02 03:24:00,2015-02-02,03:24:00,Sleep,144.0,18,204
2015-02-02 06:20:00,2015-02-02,06:20:00,Sleep,70.0,18,380
2015-02-02 10:50:00,2015-02-02,10:50:00,Sleep,89.0,18,650
2015-02-02 15:13:00,2015-02-02,15:13:00,Sleep,163.0,18,913
2015-02-02 19:17:00,2015-02-02,19:17:00,Sleep,73.0,18,1157
2015-02-02 21:50:00,2015-02-02,21:50:00,Sleep,298.0,18,1310
2015-02-03 03:18:00,2015-02-03,03:18:00,Sleep,163.0,19,198
2015-02-03 06:35:00,2015-02-03,06:35:00,Sleep,120.0,19,395
2015-02-03 09:30:00,2015-02-03,09:30:00,Sleep,80.0,19,570
2015-02-03 12:00:00,2015-02-03,12:00:00,Sleep,60.0,19,720
2015-02-03 15:20:00,2015-02-03,15:20:00,Sleep,159.0,19,920
2015-02-03 19:40:00,2015-02-03,19:40:00,Sleep,144.0,19,1180
2015-02-03 22:32:00,2015-02-03,22:32:00,Sleep,177.0,19,1352
2015-02-04 02:06:00,2015-02-04,02:06:00,Sleep,164.0,20,126
2015-02-04 05:24:00,2015-02-04,05:24:00,Sleep,144.0,20,324
2015-02-04 08:18:00,2015-02-04,08:18:00,Sleep,47.0,20,498
2015-02-04 14:30:00,2015-02-04,14:30:00,Sleep,136.0,20,870
2015-02-04 17:30:00,2015-02-04,17:30:00,Sleep,142.0,20,1050
2015-02-04 20:43:00,2015-02-04,20:43:00,Sleep,237.0,20,1243
2015-02-05 02:46:00,2015-02-05,02:46:00,Sleep,70.0,21,166
2015-02-05 04:41:00,2015-02-05,04:41:00,Sleep,116.0,21,281
2015-02-05 07:05:00,2015-02-05,07:05:00,Sleep,101.0,21,425
2015-02-05 11:38:00,2015-02-05,11:38:00,Sleep,164.0,21,698
2015-02-05 15:00:00,2015-02-05,15:00:00,Sleep,120.0,21,900
2015-02-05 20:12:00,2015-02-05,20:12:00,Sleep,260.0,21,1212
2015-02-06 01:05:00,2015-02-06,01:05:00,Sleep,179.0,22,65
2015-02-06 04:46:00,2015-02-06,04:46:00,Sleep,108.0,22,286
2015-02-06 08:31:00,2015-02-06,08:31:00,Sleep,127.0,22,511
2015-02-06 21:40:00,2015-02-06,21:40:00,Sleep,303.0,22,1300
2015-02-07 03:15:00,2015-02-07,03:15:00,Sleep,115.0,23,195
2015-02-07 05:29:00,2015-02-07,05:29:00,Sleep,130.0,23,329
2015-02-07 10:00:00,2015-02-07,10:00:00,Sleep,30.0,23,600
2015-02-07 11:35:00,2015-02-07,11:35:00,Sleep,195.0,23,695
2015-02-07 20:00:00,2015-02-07,20:00:00,Sleep,30.0,23,1200
2015-02-07 21:53:00,2015-02-07,21:53:00,Sleep,195.0,23,1313
2015-02-08 01:35:00,2015-02-08,01:35:00,Sleep,137.0,24,95
2015-02-08 04:21:00,2015-02-08,04:21:00,Sleep,154.0,24,261
2015-02-08 09:14:00,2015-02-08,09:14:00,Sleep,105.0,24,554
2015-02-08 12:00:00,2015-02-08,12:00:00,Sleep,90.0,24,720
2015-02-08 14:00:00,2015-02-08,14:00:00,Sleep,150.0,24,840
2015-02-08 21:50:00,2015-02-08,21:50:00,Sleep,168.0,24,1310
2015-02-09 01:20:00,2015-02-09,01:20:00,Sleep,155.0,25,80
2015-02-09 05:17:00,2015-02-09,05:17:00,Sleep,129.0,25,317
2015-02-09 10:00:00,2015-02-09,10:00:00,Sleep,45.0,25,600
2015-02-09 12:15:00,2015-02-09,12:15:00,Sleep,30.0,25,735
2015-02-09 16:00:00,2015-02-09,16:00:00,Sleep,139.0,25,960
2015-02-09 20:30:00,2015-02-09,20:30:00,Sleep,300.0,25,1230
2015-02-10 02:31:00,2015-02-10,02:31:00,Sleep,165.0,26,151
2015-02-10 05:40:00,2015-02-10,05:40:00,Sleep,125.0,26,340
2015-02-10 14:38:00,2015-02-10,14:38:00,Sleep,44.0,26,878
2015-02-10 16:00:00,2015-02-10,16:00:00,Sleep,135.0,26,960
2015-02-10 19:00:00,2015-02-10,19:00:00,Sleep,50.0,26,1140
2015-02-10 22:15:00,2015-02-10,22:15:00,Sleep,149.0,26,1335
2015-02-11 01:21:00,2015-02-11,01:21:00,Sleep,174.0,27,81
2015-02-11 04:51:00,2015-02-11,04:51:00,Sleep,63.0,27,291
2015-02-11 06:08:00,2015-02-11,06:08:00,Sleep,30.0,27,368
2015-02-11 11:26:00,2015-02-11,11:26:00,Sleep,54.0,27,686
2015-02-11 12:40:00,2015-02-11,12:40:00,Sleep,109.0,27,760
2015-02-11 21:25:00,2015-02-11,21:25:00,Sleep,396.0,27,1285
2015-02-12 04:31:00,2015-02-12,04:31:00,Sleep,110.0,28,271
2015-02-12 06:50:00,2015-02-12,06:50:00,Sleep,100.0,28,410
2015-02-12 11:15:00,2015-02-12,11:15:00,Sleep,160.0,28,675
2015-02-12 16:10:00,2015-02-12,16:10:00,Sleep,50.0,28,970
